checked_at,flight_number,flight_date,departure_time,pc2476_price,currency,google_lowest_price,google_price_level,status
2026-08-17T00:45:09+03:00,PC2476,2026-09-17,2026-09-17 19:30,1762.0,TRY,1762.0,typical,SUCCESS
2026-08-17T03:53:32+03:00,PC2476,2026-09-17,2026-09-17 19:30,1762.0,TRY,1762.0,typical,SUCCESS
2026-08-17T06:43:35+03:00,PC2476,2026-09-17,2026-09-17 19:30,1690.0,TRY,1690.0,typical,SUCCESS
2026-08-17T09:40:22+03:00,PC2476,2026-09-17,2026-09-17 19:30,1690.0,TRY,1690.0,typical,SUCCESS
2026-08-17T12:34:26+03:00,PC2476,2026-09-17,2026-09-17 19:30,1726.0,TRY,1726.0,typical,SUCCESS
2026-08-17T15:30:54+03:00,PC2476,2026-09-17,2026-09-17 19:30,1690.0,TRY,1690.0,typical,SUCCESS
2026-08-17T18:19:17+03:00,PC2476,2026-09-17,2026-09-17 19:30,1690.0,TRY,1690.0,typical,SUCCESS
2026-08-17T21:28:42+03:00,PC2476,2026-09-17,2026-09-17 19:30,1690.0,TRY,1690.0,typical,SUCCESS
2026-08-18T00:20:09+03:00,PC2476,2026-09-17,2026-09-17 19:30,1704.0,TRY,1704.0,typical,SUCCESS
2026-08-18T03:52:05+03:00,PC2476,2026-09-17,2026-09-17 19:30,1691.0,TRY,1691.0,typical,SUCCESS
2026-08-18T06:39:17+03:00,PC2476,2026-09-17,2026-09-17 19:30,1832.0,TRY,1832.0,typical,SUCCESS
2026-08-18T09:32:05+03:00,PC2476,2026-09-17,2026-09-17 19:30,1796.0,TRY,1796.0,typical,SUCCESS
2026-08-18T12:25:56+03:00,PC2476,2026-09-17,2026-09-17 19:30,1810.0,TRY,1810.0,typical,SUCCESS
